,LON,LAT,도로명
460,129.0662126,35.16170354,부산 부산진구 동성로118번길 34
461,129.0485761,35.16328643,부산 부산진구 신천대로241번길 41
462,129.0397223,35.16908078,부산 부산진구 백양순환로110번길 25
463,129.0356699,35.16448093,부산 부산진구 동평로44번길 49-6
464,129.0478699,35.15788057,부산 부산진구 가야대로703번길 13
465,129.0333227,35.16822957,부산 부산진구 백양순환로 40
466,129.0342838,35.15324324,부산 부산진구 가야대로572번길 22
467,129.0290227,35.14975927,부산 부산진구 가야공원로40번길 14
468,129.0219328,35.15269309,부산 부산진구 가야대로454번길 9
469,129.0218352,35.15562172,부산 부산진구 백양대로 268
470,129.0610182,35.1470238,부산 부산진구 범일로192번길 21
471,129.0561424,35.14650109,부산 부산진구 신암로 48
472,129.0910445,35.19601857,부산 동래구 온천천로339번길 48
473,129.0815582,35.21248571,부산 동래구 명륜로207번길 26
474,129.0885537,35.21989519,부산 금정구 부곡로18번안길 37
